@relation 2016_New_Coder_Survey-weka.filters.unsupervised.attribute.NumericToNominal-R5-weka.filters.unsupervised.attribute.Remove-R3-4_clustered

@attribute Instance_number numeric
@attribute Age numeric
@attribute Income numeric
@attribute Gender {0,1}
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9,cluster10,cluster11,cluster12}

@data
591,29,7000,1,cluster6
592,26,38000,1,cluster8
593,28,57000,1,cluster11
594,28,48649,0,cluster1
595,34,54000,1,cluster1
596,18,60000,1,cluster11
597,36,36000,1,cluster1
598,22,24000,1,cluster8
599,31,50000,0,cluster1
600,25,12000,1,cluster7
601,37,65000,1,cluster3
602,35,60000,1,cluster3
603,27,47000,1,cluster11
604,30,40000,1,cluster1
605,25,80000,1,cluster3
606,34,85000,1,cluster3
607,22,28000,1,cluster8
608,23,7000,0,cluster7
609,23,8000,1,cluster7
610,26,120000,1,cluster5
611,40,36000,1,cluster2
612,37,60000,1,cluster2
613,52,26000,0,cluster4
614,39,200000,1,cluster0
615,50,40000,1,cluster4
616,33,35000,1,cluster1
617,28,34000,1,cluster8
618,31,42000,1,cluster1
619,31,60000,1,cluster3
620,26,50000,1,cluster11
621,23,35000,0,cluster8
622,46,100000,1,cluster9
623,31,58000,1,cluster3
624,25,18000,1,cluster7
625,40,27000,1,cluster10
626,25,15000,0,cluster7
627,37,68000,1,cluster3
628,37,130000,1,cluster5
629,24,30000,1,cluster8
630,34,40000,1,cluster1
631,25,6000,1,cluster7
632,34,46000,1,cluster1
633,23,40000,1,cluster8
634,36,46000,0,cluster1
635,33,50000,1,cluster1
636,28,28000,0,cluster8
637,35,87000,1,cluster3
638,55,150000,1,cluster9
639,25,60000,1,cluster11
640,35,10325,1,cluster6
641,24,6500,1,cluster7
642,34,30000,1,cluster1
643,33,60000,1,cluster3
644,43,70000,1,cluster12
645,35,20000,1,cluster6
646,23,20000,1,cluster7
647,22,200000,1,cluster0
648,25,45000,0,cluster8
649,20,11000,1,cluster7
650,43,23000,1,cluster10
651,42,20000,1,cluster10
652,39,95000,0,cluster12
653,23,23000,0,cluster8
654,39,45000,1,cluster2
655,25,42000,0,cluster8
656,29,45000,1,cluster1
657,41,40000,1,cluster2
658,33,46800,1,cluster1
659,38,60000,1,cluster2
660,37,75000,1,cluster3
661,35,26000,1,cluster10
662,25,30000,1,cluster8
663,23,43428,1,cluster8
664,44,80000,1,cluster12
665,30,200000,1,cluster0
666,32,35000,0,cluster1
667,22,36000,1,cluster8
668,25,40000,0,cluster8
669,24,12000,1,cluster7
670,56,50000,1,cluster4
671,26,76000,1,cluster3
672,22,60000,1,cluster11
673,30,20000,1,cluster6
674,30,49500,1,cluster1
675,25,15000,1,cluster7
676,33,60000,1,cluster3
677,39,120000,1,cluster5
678,19,60000,1,cluster11
679,27,35000,1,cluster8
680,35,53000,0,cluster1
681,24,100000,1,cluster5
682,55,48000,1,cluster4
