@relation 2016_New_Coder_Survey-weka.filters.unsupervised.attribute.NumericToNominal-R5_clustered

@attribute Instance_number numeric
@attribute Age numeric
@attribute Income numeric
@attribute IsEthnicMinority numeric
@attribute IsSoftwareDev numeric
@attribute Gender {0,1}
@attribute Cluster {cluster0,cluster1}

@data
262,31,55000,1,1,1,cluster0
263,26,16000,1,0,1,cluster1
264,31,30000,1,0,1,cluster1
265,33,70000,0,0,0,cluster1
266,27,10000,0,1,1,cluster0
267,28,12000,1,0,1,cluster1
268,26,130000,0,1,1,cluster0
269,26,35000,0,1,0,cluster0
270,22,10000,0,1,0,cluster0
271,37,12000,1,1,1,cluster0
272,22,57600,0,1,1,cluster0
273,21,60000,0,1,1,cluster0
274,45,42000,0,0,1,cluster1
275,28,9000,0,1,1,cluster0
276,17,24000,0,0,1,cluster1
277,32,22000,0,0,1,cluster1
278,53,85000,1,0,1,cluster1
279,29,40000,0,0,1,cluster1
280,32,12000,0,1,1,cluster0
281,20,43200,1,0,1,cluster1
282,25,40000,0,0,1,cluster1
283,42,9000,0,0,1,cluster1
284,27,26000,0,0,1,cluster1
285,35,38000,0,0,1,cluster1
286,36,30000,1,1,1,cluster0
287,28,32000,1,0,1,cluster1
288,32,24000,0,1,1,cluster0
289,30,60000,1,0,1,cluster1
290,36,54000,0,0,1,cluster1
291,23,60000,0,1,1,cluster0
292,29,56704,0,1,1,cluster0
293,28,50000,1,1,1,cluster0
294,22,60000,0,0,0,cluster1
295,26,24000,0,1,1,cluster0
296,31,22000,0,0,1,cluster1
297,28,20000,0,0,1,cluster1
298,35,15000,0,0,1,cluster1
299,25,35000,1,1,1,cluster0
300,32,200000,1,0,1,cluster1
301,22,60000,0,0,1,cluster1
302,20,35000,0,1,1,cluster0
303,33,70000,0,1,1,cluster0
304,28,35000,0,1,0,cluster0
305,39,57000,1,1,1,cluster0
306,28,43000,1,0,1,cluster1
307,28,30000,0,0,1,cluster1
308,24,10000,0,0,1,cluster1
309,40,70000,1,1,1,cluster0
310,27,12000,0,1,1,cluster0
311,23,35000,1,1,1,cluster0
312,29,50000,0,0,1,cluster1
313,33,6000,0,1,1,cluster0
314,55,120000,0,1,1,cluster0
315,28,10000,0,0,1,cluster1
316,28,16000,1,0,1,cluster1
317,30,12000,1,0,1,cluster1
318,35,15000,1,0,1,cluster1
319,25,15600,1,0,0,cluster1
320,46,55000,0,0,0,cluster1
321,22,35000,0,0,1,cluster1
322,26,60000,0,1,0,cluster0
323,25,90000,0,0,0,cluster1
324,24,50000,0,1,1,cluster0
325,24,38000,1,1,1,cluster0
326,33,140000,0,1,1,cluster0
327,29,65000,0,1,1,cluster0
328,27,45000,1,1,0,cluster0
329,28,75000,0,0,0,cluster1
330,36,6400,0,0,1,cluster1
331,20,60000,0,1,0,cluster0
332,38,15000,0,0,1,cluster1
333,49,80000,1,0,1,cluster1
334,27,45000,1,0,0,cluster1
335,23,48000,0,1,1,cluster0
336,29,10000,0,1,1,cluster0
337,28,28800,1,0,0,cluster1
338,25,48000,0,1,1,cluster0
339,61,48000,0,0,0,cluster1
340,40,100000,0,0,1,cluster1
341,41,45000,0,0,0,cluster1
342,35,100000,0,1,1,cluster0
343,30,18000,0,0,1,cluster1
344,43,25000,1,0,1,cluster1
345,27,50000,0,0,1,cluster1
346,33,112000,0,0,0,cluster1
347,30,50000,1,0,1,cluster1
348,44,85000,0,0,0,cluster1
349,32,25000,0,0,0,cluster1
350,27,70000,0,1,1,cluster0
351,24,39000,1,0,1,cluster1
352,24,12000,0,1,1,cluster0
353,32,45000,1,0,1,cluster1
354,24,15000,1,0,1,cluster1
355,28,90000,0,1,1,cluster0
356,33,48000,0,0,1,cluster1
357,33,10000,0,0,1,cluster1
358,29,27000,0,0,0,cluster1
359,16,60000,1,0,1,cluster1
360,41,8000,0,0,0,cluster1
361,31,42000,1,1,1,cluster0
362,35,37000,0,0,1,cluster1
363,28,26000,1,0,0,cluster1
364,37,20000,0,0,1,cluster1
365,26,45000,1,0,1,cluster1
366,24,30000,1,0,1,cluster1
367,25,30000,0,0,1,cluster1
368,24,120000,0,1,1,cluster0
369,28,38000,0,0,0,cluster1
370,24,30000,1,0,1,cluster1
371,20,20000,0,1,1,cluster0
372,32,80000,1,1,1,cluster0
373,17,36000,0,0,1,cluster1
374,25,24000,0,1,1,cluster0
375,35,12000,0,0,1,cluster1
376,40,52000,0,0,1,cluster1
377,21,12000,0,0,1,cluster1
378,23,40000,0,0,1,cluster1
379,32,14000,0,0,1,cluster1
380,13,18000,0,0,1,cluster1
381,28,99000,0,1,1,cluster0
382,38,28000,1,0,1,cluster1
383,37,20000,1,0,1,cluster1
384,25,14400,0,1,1,cluster0
385,40,24000,1,0,1,cluster1
386,33,40000,0,1,1,cluster0
387,40,53000,0,0,1,cluster1
388,30,80000,1,0,1,cluster1
389,61,85000,0,1,1,cluster0
390,26,45000,0,0,1,cluster1
391,35,31000,0,0,1,cluster1
392,33,15000,0,0,1,cluster1
393,26,19000,0,1,1,cluster0
394,40,66000,1,0,0,cluster1
395,28,95000,0,0,0,cluster1
396,34,110000,0,0,1,cluster1
397,40,55000,0,0,1,cluster1
398,25,44000,1,1,0,cluster0
399,32,27000,1,1,1,cluster0
400,33,63768,0,0,1,cluster1
401,26,50000,0,0,1,cluster1
402,31,36000,1,0,0,cluster1
403,22,42014,0,1,0,cluster0
404,31,20000,1,1,1,cluster0
405,23,18000,0,0,1,cluster1
406,23,50400,0,1,1,cluster0
407,24,20000,0,0,1,cluster1
408,38,13000,0,0,1,cluster1
409,33,20000,0,0,1,cluster1
410,26,50000,0,0,1,cluster1
411,25,55000,0,1,1,cluster0
412,35,73000,1,0,1,cluster1
413,22,10000,0,0,1,cluster1
414,33,14400,0,0,1,cluster1
415,35,99000,0,0,1,cluster1
416,22,24000,0,0,1,cluster1
417,23,30000,0,0,0,cluster1
418,27,50000,0,1,1,cluster0
419,32,42000,0,0,0,cluster1
420,28,45000,0,0,1,cluster1
421,27,36000,0,0,1,cluster1
422,22,55000,0,0,1,cluster1
423,29,29000,0,0,1,cluster1
424,27,40000,1,0,0,cluster1
425,25,26000,1,0,0,cluster1
426,23,27000,0,1,0,cluster0
427,42,40000,1,0,1,cluster1
428,23,60000,1,0,0,cluster1
429,29,20000,0,1,1,cluster0
430,25,200000,0,0,1,cluster1
431,26,11000,1,0,1,cluster1
432,31,20000,0,1,1,cluster0
433,30,15000,0,1,1,cluster0
434,24,10000,1,0,1,cluster1
435,31,65000,0,0,0,cluster1
436,41,87000,0,0,1,cluster1
437,28,50000,0,0,1,cluster1
438,23,14000,1,0,1,cluster1
439,43,15000,0,0,0,cluster1
440,25,25367,0,1,1,cluster0
441,35,100000,0,1,1,cluster0
442,30,8000,0,1,1,cluster0
443,30,33000,1,0,1,cluster1
444,60,40000,0,1,1,cluster0
445,26,10000,1,1,1,cluster0
446,24,32000,0,1,1,cluster0
447,41,40000,0,0,1,cluster1
448,29,58000,0,0,1,cluster1
449,35,22000,0,1,1,cluster0
450,31,95000,0,0,1,cluster1
451,24,63600,0,0,1,cluster1
452,26,8000,0,0,0,cluster1
453,23,43000,0,1,1,cluster0
454,28,40000,0,0,0,cluster1
455,33,53000,0,0,1,cluster1
456,27,36000,0,1,1,cluster0
457,21,40000,0,1,1,cluster0
458,23,12000,0,1,1,cluster0
459,24,30000,0,1,1,cluster0
460,23,70000,0,1,1,cluster0
461,42,30000,0,1,0,cluster0
462,25,6500,0,1,1,cluster0
463,29,48000,0,1,1,cluster0
464,25,60000,1,1,0,cluster0
465,26,45000,1,0,1,cluster1
466,28,40000,0,0,1,cluster1
467,21,14000,0,0,1,cluster1
468,53,50000,0,0,0,cluster1
469,27,35000,0,1,0,cluster0
470,38,30000,1,0,0,cluster1
471,30,130000,1,1,1,cluster0
472,24,15000,1,1,1,cluster0
473,54,45000,0,0,1,cluster1
474,28,44000,0,0,1,cluster1
475,31,15000,1,1,0,cluster0
476,46,20000,0,1,1,cluster0
477,29,48000,0,1,1,cluster0
478,24,31000,1,0,1,cluster1
479,35,130000,0,0,1,cluster1
480,29,30000,0,0,0,cluster1
481,28,70000,0,0,1,cluster1
482,32,50000,0,0,1,cluster1
483,39,40000,1,0,0,cluster1
484,23,36000,1,0,1,cluster1
485,31,6000,0,0,1,cluster1
486,38,86000,0,0,1,cluster1
487,25,23000,1,0,0,cluster1
488,23,6000,1,0,0,cluster1
489,29,140000,0,1,1,cluster0
490,29,20000,0,1,1,cluster0
491,40,25000,0,1,1,cluster0
492,21,25000,0,1,1,cluster0
493,28,60000,0,0,1,cluster1
494,35,50000,0,0,1,cluster1
495,30,46000,0,1,1,cluster0
496,29,18000,0,1,1,cluster0
497,52,60000,0,0,1,cluster1
498,18,36000,0,1,1,cluster0
499,41,45000,1,0,1,cluster1
500,26,50000,0,0,1,cluster1
501,41,90000,0,0,1,cluster1
502,27,34000,0,0,1,cluster1
503,32,15000,0,1,1,cluster0
504,30,10000,1,1,1,cluster0
505,25,35000,0,0,1,cluster1
506,31,10000,0,0,1,cluster1
507,31,40000,0,0,1,cluster1
508,25,43440,1,1,0,cluster0
509,29,15000,0,0,1,cluster1
510,33,42000,0,0,0,cluster1
511,27,20500,0,0,1,cluster1
512,27,80000,0,1,1,cluster0
513,28,8000,0,1,1,cluster0
514,26,48000,0,0,0,cluster1
515,40,200000,0,0,1,cluster1
516,28,20000,0,1,1,cluster0
517,62,20000,0,0,0,cluster1
518,21,10000,1,0,0,cluster1
519,45,60000,0,0,0,cluster1
520,34,30000,0,0,1,cluster1
521,39,6000,1,1,0,cluster0
522,30,19200,0,0,1,cluster1
523,25,9000,0,1,0,cluster0
524,34,200000,0,1,1,cluster0
525,36,20000,1,1,1,cluster0
526,25,24000,0,0,1,cluster1
527,26,33840,1,0,1,cluster1
528,28,55000,1,1,1,cluster0
529,30,22000,1,0,1,cluster1
530,28,29000,1,0,1,cluster1
531,24,96000,1,1,0,cluster0
532,27,12000,0,1,1,cluster0
533,23,45000,1,0,1,cluster1
534,25,42000,0,0,0,cluster1
535,26,52000,1,0,1,cluster1
536,27,20000,1,0,1,cluster1
537,24,10000,0,1,1,cluster0
538,31,7000,0,0,1,cluster1
539,23,54000,0,1,1,cluster0
540,21,10000,0,0,1,cluster1
541,34,40000,0,1,1,cluster0
542,32,65000,0,1,1,cluster0
543,39,135000,0,0,1,cluster1
544,31,6000,0,0,1,cluster1
545,28,35000,0,0,1,cluster1
546,32,40000,0,1,1,cluster0
547,39,36000,0,0,0,cluster1
548,18,6000,0,0,0,cluster1
549,35,72000,1,0,0,cluster1
550,53,111000,0,1,1,cluster0
551,24,69600,0,1,1,cluster0
552,30,14500,0,1,1,cluster0
553,27,20000,0,0,0,cluster1
554,42,42000,1,0,1,cluster1
555,33,14000,0,0,1,cluster1
556,45,60000,0,1,1,cluster0
557,43,105000,0,0,1,cluster1
558,27,25205,0,0,1,cluster1
559,36,36000,0,0,1,cluster1
560,54,7500,0,0,1,cluster1
561,38,10000,0,1,1,cluster0
562,21,200000,0,0,1,cluster1
563,26,40000,0,1,1,cluster0
564,27,40000,0,0,1,cluster1
565,37,90000,0,1,1,cluster0
566,32,70000,1,0,1,cluster1
567,25,9000,0,0,0,cluster1
568,36,70000,0,1,0,cluster0
569,32,22000,1,0,0,cluster1
570,30,12000,0,0,1,cluster1
571,34,28000,0,0,1,cluster1
572,24,10000,0,0,1,cluster1
573,39,145000,0,0,1,cluster1
574,28,14500,0,0,0,cluster1
575,32,50000,0,1,1,cluster0
576,30,40000,1,0,1,cluster1
577,21,38000,0,1,1,cluster0
578,31,30000,0,1,1,cluster0
579,35,34000,0,0,1,cluster1
580,32,15000,0,1,1,cluster0
581,27,7000,0,0,0,cluster1
582,23,37500,1,0,1,cluster1
583,25,7500,0,1,1,cluster0
584,34,30000,0,0,0,cluster1
585,34,6000,0,0,1,cluster1
586,24,40000,0,1,1,cluster0
587,35,8000,1,1,1,cluster0
588,23,80000,0,1,1,cluster0
589,24,10000,0,1,1,cluster0
590,24,16000,0,0,0,cluster1
591,29,7000,0,1,1,cluster0
592,26,38000,0,0,1,cluster1
593,28,57000,0,1,1,cluster0
594,28,48649,0,1,0,cluster0
595,34,54000,0,0,1,cluster1
596,18,60000,0,0,1,cluster1
597,36,36000,1,0,1,cluster1
598,22,24000,0,0,1,cluster1
599,31,50000,1,0,0,cluster1
600,25,12000,0,1,1,cluster0
601,37,65000,0,1,1,cluster0
602,35,60000,0,0,1,cluster1
603,27,47000,0,0,1,cluster1
604,30,40000,1,0,1,cluster1
605,25,80000,0,0,1,cluster1
606,34,85000,0,0,1,cluster1
607,22,28000,1,0,1,cluster1
608,23,7000,0,1,0,cluster0
609,23,8000,1,0,1,cluster1
610,26,120000,0,1,1,cluster0
611,40,36000,0,1,1,cluster0
612,37,60000,0,1,1,cluster0
613,52,26000,0,0,0,cluster1
614,39,200000,0,1,1,cluster0
615,50,40000,1,0,1,cluster1
616,33,35000,0,1,1,cluster0
617,28,34000,1,0,1,cluster1
618,31,42000,0,1,1,cluster0
619,31,60000,0,1,1,cluster0
620,26,50000,0,1,1,cluster0
621,23,35000,0,0,0,cluster1
622,46,100000,0,1,1,cluster0
623,31,58000,0,0,1,cluster1
624,25,18000,0,0,1,cluster1
625,40,27000,0,1,1,cluster0
626,25,15000,1,0,0,cluster1
627,37,68000,0,0,1,cluster1
628,37,130000,0,1,1,cluster0
629,24,30000,0,0,1,cluster1
630,34,40000,0,0,1,cluster1
631,25,6000,0,1,1,cluster0
632,34,46000,0,0,1,cluster1
633,23,40000,1,0,1,cluster1
634,36,46000,0,0,0,cluster1
635,33,50000,0,1,1,cluster0
636,28,28000,0,0,0,cluster1
637,35,87000,0,0,1,cluster1
638,55,150000,0,0,1,cluster1
639,25,60000,0,1,1,cluster0
640,35,10325,0,1,1,cluster0
641,24,6500,0,0,1,cluster1
642,34,30000,0,0,1,cluster1
643,33,60000,0,0,1,cluster1
644,43,70000,0,0,1,cluster1
645,35,20000,0,0,1,cluster1
646,23,20000,0,0,1,cluster1
647,22,200000,0,0,1,cluster1
648,25,45000,0,0,0,cluster1
649,20,11000,0,0,1,cluster1
650,43,23000,1,0,1,cluster1
651,42,20000,0,0,1,cluster1
652,39,95000,0,1,0,cluster0
653,23,23000,1,1,0,cluster0
654,39,45000,0,1,1,cluster0
655,25,42000,1,1,0,cluster0
656,29,45000,0,0,1,cluster1
657,41,40000,1,0,1,cluster1
658,33,46800,0,0,1,cluster1
659,38,60000,0,0,1,cluster1
660,37,75000,1,0,1,cluster1
661,35,26000,0,0,1,cluster1
662,25,30000,1,0,1,cluster1
663,23,43428,0,1,1,cluster0
664,44,80000,1,0,1,cluster1
665,30,200000,1,0,1,cluster1
666,32,35000,0,0,0,cluster1
667,22,36000,0,1,1,cluster0
668,25,40000,0,0,0,cluster1
669,24,12000,0,1,1,cluster0
670,56,50000,1,0,1,cluster1
671,26,76000,1,1,1,cluster0
672,22,60000,0,0,1,cluster1
673,30,20000,0,0,1,cluster1
674,30,49500,0,0,1,cluster1
675,25,15000,0,1,1,cluster0
676,33,60000,1,0,1,cluster1
677,39,120000,0,0,1,cluster1
678,19,60000,0,0,1,cluster1
679,27,35000,0,1,1,cluster0
680,35,53000,1,0,0,cluster1
681,24,100000,1,0,1,cluster1
682,55,48000,0,1,1,cluster0
683,45,12000,0,0,1,cluster1
684,22,40000,0,1,1,cluster0
685,44,20000,1,0,1,cluster1
686,42,120000,1,0,1,cluster1
687,22,36000,0,0,1,cluster1
688,31,60000,1,0,0,cluster1
689,41,85000,0,0,1,cluster1
690,24,30000,0,0,1,cluster1
691,42,12000,0,1,1,cluster0
692,27,9000,0,0,1,cluster1
693,34,38223,0,1,1,cluster0
694,25,42000,0,1,0,cluster0
695,22,60000,1,0,1,cluster1
696,26,20000,0,0,1,cluster1
697,23,52000,0,1,1,cluster0
698,31,35000,0,1,1,cluster0
699,26,105000,0,1,0,cluster0
700,22,25000,0,1,1,cluster0
701,19,7000,0,0,1,cluster1
702,38,52000,0,0,1,cluster1
703,25,28836,0,0,1,cluster1
704,29,80000,0,1,1,cluster0
705,32,50000,0,1,1,cluster0
706,26,60000,1,1,0,cluster0
707,30,76100,1,1,1,cluster0
708,23,8000,0,1,1,cluster0
709,22,32000,0,1,1,cluster0
710,28,70000,1,0,0,cluster1
711,40,80000,0,1,1,cluster0
712,28,22000,0,1,0,cluster0
713,29,34000,0,1,1,cluster0
714,31,48000,0,0,1,cluster1
715,26,29250,0,0,1,cluster1
716,33,30000,0,0,1,cluster1
717,44,10000,0,0,0,cluster1
718,27,22000,1,0,0,cluster1
719,28,23300,0,0,1,cluster1
720,24,10000,0,1,1,cluster0
721,37,12000,0,0,1,cluster1
722,23,12000,0,1,1,cluster0
723,28,24000,0,0,1,cluster1
724,22,10000,0,1,1,cluster0
725,28,18000,0,0,1,cluster1
726,33,41500,0,0,1,cluster1
727,25,30000,0,0,1,cluster1
728,30,135000,1,0,1,cluster1
729,41,40000,0,0,1,cluster1
730,37,45000,0,0,1,cluster1
731,34,30000,1,0,0,cluster1
732,29,45000,0,0,0,cluster1
733,41,80000,1,0,1,cluster1
734,25,48380,0,0,1,cluster1
735,31,25000,1,0,1,cluster1
736,31,45000,0,0,0,cluster1
737,41,90000,0,1,1,cluster0
738,48,120000,0,1,1,cluster0
739,21,10000,0,0,1,cluster1
740,38,100000,0,1,1,cluster0
741,22,18000,1,0,0,cluster1
742,42,34000,1,0,1,cluster1
743,22,31686,0,0,1,cluster1
744,24,20000,0,0,1,cluster1
745,41,40000,0,0,0,cluster1
746,25,48000,0,0,1,cluster1
747,32,50000,1,0,1,cluster1
