@relation 2016_New_Coder_Survey-weka.filters.unsupervised.attribute.NumericToNominal-R5_ICA-weka.filters.unsupervised.attribute.IndependentComponents-W-A5-N200-T1.0E-4_clustered

@attribute Instance_number numeric
@attribute Source_0 numeric
@attribute Source_1 numeric
@attribute Source_2 numeric
@attribute Source_3 numeric
@attribute Gender {0,1}
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6}

@data
131,-0.009691,0.00842,0.002797,-0.001369,0,cluster2
132,0.005976,-0.020004,-0.003719,0.022448,1,cluster4
133,-0.004194,0.010627,-0.011168,0.024859,1,cluster1
134,0.000264,0.006381,-0.015435,0.020424,0,cluster1
135,-0.000051,-0.003009,-0.02452,0.013998,1,cluster6
136,0.003886,0.000846,-0.020922,0.01537,1,cluster6
137,0.004227,0.012503,-0.009642,0.023365,1,cluster1
138,0.013102,-0.017902,-0.001929,0.021541,1,cluster4
139,-0.001806,-0.001268,-0.022773,0.015792,0,cluster6
140,0.018095,0.007211,-0.015248,0.015073,1,cluster5
141,0.036407,-0.002743,-0.009609,-0.02446,1,cluster2
142,0.017638,0.003884,-0.002542,-0.01361,0,cluster2
143,0.005385,0.00722,0.001114,-0.007216,1,cluster2
144,0.028967,0.00842,-0.014452,0.012299,0,cluster5
145,0.002475,-0.009828,0.006259,0.030689,1,cluster4
146,0.017456,-0.013402,0.002279,0.023223,0,cluster4
147,-0.011774,-0.018875,0.0139,0.002613,1,cluster0
148,0.003565,0.002576,-0.019235,0.01668,1,cluster6
149,-0.018165,0.00201,-0.00312,-0.00301,1,cluster2
150,-0.010291,0.00972,0.004077,-0.000265,1,cluster2
151,-0.000362,0.005414,-0.01635,0.01996,1,cluster1
152,-0.001187,0.010819,-0.011086,0.023993,1,cluster1
153,0.001949,0.004532,-0.017284,0.018578,1,cluster1
154,-0.005625,0.005797,0.000115,-0.004546,1,cluster2
155,-0.014741,0.002846,-0.002428,-0.003567,1,cluster2
156,0.006594,0.011313,0.005036,-0.004771,1,cluster2
157,-0.002092,-0.008372,0.02374,0.006699,1,cluster0
158,0.005234,0.005154,-0.016795,0.017918,0,cluster1
159,-0.007671,0.005256,-0.01625,0.02228,1,cluster1
160,-0.005489,0.010853,-0.010904,0.025447,1,cluster1
161,-0.0095,0.013169,0.00739,0.00187,1,cluster2
162,0.002045,0.006907,-0.014987,0.020198,0,cluster1
163,0.010231,0.006194,-0.015961,0.01698,1,cluster1
164,0.010148,-0.01356,0.002379,0.025543,1,cluster4
165,0.008711,0.010524,-0.011714,0.020498,1,cluster1
166,0.012193,0.006998,-0.015249,0.016888,1,cluster1
167,0.003151,-0.022141,-0.005692,0.021901,1,cluster4
168,-0.013159,0.009743,0.004198,0.000704,1,cluster2
169,-0.000909,0.011248,-0.01068,0.0242,1,cluster1
170,0.008684,-0.014398,-0.019941,-0.023349,1,cluster3
171,-0.00891,0.005175,-0.000374,-0.003886,0,cluster2
172,0.004819,-0.000332,-0.006183,-0.012281,1,cluster2
173,0.016506,-0.011221,-0.017134,-0.02374,1,cluster3
174,-0.022097,-0.050009,-0.031814,0.010912,1,cluster3
175,0.010568,-0.017757,0.014211,-0.004037,1,cluster0
176,0.019629,-0.014499,0.001142,0.021738,0,cluster4
177,0.018834,0.006125,-0.016325,0.014072,1,cluster5
178,-0.008907,-0.018897,0.013779,0.001644,1,cluster0
179,-0.011527,0.005585,0.000113,-0.002731,1,cluster2
180,-0.007174,-0.009953,-0.015088,-0.014985,1,cluster3
181,0.006671,-0.01893,-0.002703,0.022964,1,cluster4
182,-0.008493,0.005819,0.000236,-0.003577,1,cluster2
183,0.000432,0.004021,-0.001814,-0.007794,0,cluster2
184,0.010562,0.011157,-0.011164,0.020322,0,cluster1
185,-0.00429,0.008252,-0.013465,0.02324,1,cluster1
186,-0.003913,0.006215,0.000461,-0.004824,1,cluster2
187,-0.011648,-0.001281,-0.006533,-0.007466,0,cluster2
188,-0.018165,0.00201,-0.00312,-0.00301,1,cluster2
189,-0.005124,0.006964,-0.014684,0.022621,1,cluster1
190,0.018688,0.010352,-0.012225,0.017061,1,cluster1
191,0.000976,0.003028,-0.018707,0.017856,1,cluster6
192,0.00406,0.012245,-0.009886,0.023241,1,cluster1
193,0.003045,0.010677,-0.01137,0.022488,1,cluster1
194,0.006999,0.010106,-0.01206,0.020776,1,cluster1
195,0.000985,0.009722,-0.012224,0.022508,1,cluster1
196,0.018963,-0.000353,-0.022605,0.009523,0,cluster5
197,-0.012615,0.008751,-0.012695,0.026354,1,cluster1
198,-0.004415,-0.014202,-0.035211,0.007664,0,cluster6
199,-0.012089,0.013621,0.007918,0.003046,1,cluster2
200,0.010939,-0.010111,0.005692,0.027678,0,cluster4
201,0.003436,0.009055,-0.012955,0.021229,1,cluster1
202,-0.000415,0.00088,-0.02074,0.016824,0,cluster6
