@relation 2016_New_Coder_Survey-weka.filters.unsupervised.attribute.NumericToNominal-R5-weka.filters.unsupervised.attribute.RandomProjection-N2-R42-DSparse1_clustered

@attribute Instance_number numeric
@attribute K1 numeric
@attribute K2 numeric
@attribute Gender {0,1}
@attribute Cluster {cluster0,cluster1}

@data
267,1.732051,1.732051,1,cluster1
268,1.732051,0,1,cluster0
269,1.732051,0,0,cluster0
270,1.732051,0,0,cluster0
271,3.464102,1.732051,1,cluster1
272,1.732051,0,1,cluster0
273,1.732051,0,1,cluster0
274,0,0,1,cluster0
275,1.732051,0,1,cluster0
276,0,0,1,cluster0
277,0,0,1,cluster0
278,1.732051,1.732051,1,cluster1
279,0,0,1,cluster0
280,1.732051,0,1,cluster0
281,1.732051,1.732051,1,cluster1
282,0,0,1,cluster0
283,0,0,1,cluster0
284,0,0,1,cluster0
285,0,0,1,cluster0
286,3.464102,1.732051,1,cluster1
287,1.732051,1.732051,1,cluster1
288,1.732051,0,1,cluster0
289,1.732051,1.732051,1,cluster1
290,0,0,1,cluster0
291,1.732051,0,1,cluster0
292,1.732051,0,1,cluster0
293,3.464102,1.732051,1,cluster1
294,0,0,0,cluster0
295,1.732051,0,1,cluster0
296,0,0,1,cluster0
297,0,0,1,cluster0
298,0,0,1,cluster0
299,3.464102,1.732051,1,cluster1
300,1.732051,1.732051,1,cluster1
301,0,0,1,cluster0
302,1.732051,0,1,cluster0
303,1.732051,0,1,cluster0
304,1.732051,0,0,cluster0
305,3.464102,1.732051,1,cluster1
306,1.732051,1.732051,1,cluster1
307,0,0,1,cluster0
308,0,0,1,cluster0
309,3.464102,1.732051,1,cluster1
310,1.732051,0,1,cluster0
311,3.464102,1.732051,1,cluster1
312,0,0,1,cluster0
313,1.732051,0,1,cluster0
314,1.732051,0,1,cluster0
315,0,0,1,cluster0
316,1.732051,1.732051,1,cluster1
317,1.732051,1.732051,1,cluster1
318,1.732051,1.732051,1,cluster1
319,1.732051,1.732051,0,cluster1
320,0,0,0,cluster0
321,0,0,1,cluster0
322,1.732051,0,0,cluster0
323,0,0,0,cluster0
324,1.732051,0,1,cluster0
325,3.464102,1.732051,1,cluster1
326,1.732051,0,1,cluster0
327,1.732051,0,1,cluster0
328,3.464102,1.732051,0,cluster1
329,0,0,0,cluster0
330,0,0,1,cluster0
331,1.732051,0,0,cluster0
332,0,0,1,cluster0
333,1.732051,1.732051,1,cluster1
334,1.732051,1.732051,0,cluster1
335,1.732051,0,1,cluster0
336,1.732051,0,1,cluster0
337,1.732051,1.732051,0,cluster1
338,1.732051,0,1,cluster0
339,0,0,0,cluster0
340,0,0,1,cluster0
341,0,0,0,cluster0
342,1.732051,0,1,cluster0
343,0,0,1,cluster0
344,1.732051,1.732051,1,cluster1
345,0,0,1,cluster0
346,0,0,0,cluster0
347,1.732051,1.732051,1,cluster1
348,0,0,0,cluster0
349,0,0,0,cluster0
350,1.732051,0,1,cluster0
351,1.732051,1.732051,1,cluster1
352,1.732051,0,1,cluster0
353,1.732051,1.732051,1,cluster1
354,1.732051,1.732051,1,cluster1
355,1.732051,0,1,cluster0
356,0,0,1,cluster0
357,0,0,1,cluster0
358,0,0,0,cluster0
359,1.732051,1.732051,1,cluster1
360,0,0,0,cluster0
361,3.464102,1.732051,1,cluster1
362,0,0,1,cluster0
363,1.732051,1.732051,0,cluster1
364,0,0,1,cluster0
365,1.732051,1.732051,1,cluster1
