@relation 2016_New_Coder_Survey-weka.filters.unsupervised.attribute.NumericToNominal-R5-weka.filters.unsupervised.attribute.RandomProjection-N2-R42-DSparse1_clustered

@attribute Instance_number numeric
@attribute K1 numeric
@attribute K2 numeric
@attribute Gender {0,1}
@attribute Cluster {cluster0,cluster1,cluster2,cluster3}

@data
263,1.732051,1.732051,1,cluster2
264,1.732051,1.732051,1,cluster2
265,0,0,0,cluster3
266,1.732051,0,1,cluster1
267,1.732051,1.732051,1,cluster2
268,1.732051,0,1,cluster1
269,1.732051,0,0,cluster1
270,1.732051,0,0,cluster1
271,3.464102,1.732051,1,cluster0
272,1.732051,0,1,cluster1
273,1.732051,0,1,cluster1
274,0,0,1,cluster3
275,1.732051,0,1,cluster1
276,0,0,1,cluster3
277,0,0,1,cluster3
278,1.732051,1.732051,1,cluster2
279,0,0,1,cluster3
280,1.732051,0,1,cluster1
281,1.732051,1.732051,1,cluster2
282,0,0,1,cluster3
283,0,0,1,cluster3
284,0,0,1,cluster3
285,0,0,1,cluster3
286,3.464102,1.732051,1,cluster0
287,1.732051,1.732051,1,cluster2
288,1.732051,0,1,cluster1
289,1.732051,1.732051,1,cluster2
290,0,0,1,cluster3
291,1.732051,0,1,cluster1
292,1.732051,0,1,cluster1
293,3.464102,1.732051,1,cluster0
294,0,0,0,cluster3
295,1.732051,0,1,cluster1
296,0,0,1,cluster3
297,0,0,1,cluster3
298,0,0,1,cluster3
299,3.464102,1.732051,1,cluster0
300,1.732051,1.732051,1,cluster2
301,0,0,1,cluster3
302,1.732051,0,1,cluster1
303,1.732051,0,1,cluster1
304,1.732051,0,0,cluster1
305,3.464102,1.732051,1,cluster0
306,1.732051,1.732051,1,cluster2
307,0,0,1,cluster3
308,0,0,1,cluster3
309,3.464102,1.732051,1,cluster0
310,1.732051,0,1,cluster1
311,3.464102,1.732051,1,cluster0
312,0,0,1,cluster3
313,1.732051,0,1,cluster1
314,1.732051,0,1,cluster1
315,0,0,1,cluster3
316,1.732051,1.732051,1,cluster2
317,1.732051,1.732051,1,cluster2
318,1.732051,1.732051,1,cluster2
319,1.732051,1.732051,0,cluster2
320,0,0,0,cluster3
321,0,0,1,cluster3
322,1.732051,0,0,cluster1
323,0,0,0,cluster3
324,1.732051,0,1,cluster1
325,3.464102,1.732051,1,cluster0
326,1.732051,0,1,cluster1
327,1.732051,0,1,cluster1
328,3.464102,1.732051,0,cluster0
329,0,0,0,cluster3
330,0,0,1,cluster3
331,1.732051,0,0,cluster1
332,0,0,1,cluster3
333,1.732051,1.732051,1,cluster2
334,1.732051,1.732051,0,cluster2
335,1.732051,0,1,cluster1
336,1.732051,0,1,cluster1
337,1.732051,1.732051,0,cluster2
338,1.732051,0,1,cluster1
339,0,0,0,cluster3
340,0,0,1,cluster3
341,0,0,0,cluster3
342,1.732051,0,1,cluster1
343,0,0,1,cluster3
344,1.732051,1.732051,1,cluster2
345,0,0,1,cluster3
346,0,0,0,cluster3
347,1.732051,1.732051,1,cluster2
348,0,0,0,cluster3
349,0,0,0,cluster3
350,1.732051,0,1,cluster1
351,1.732051,1.732051,1,cluster2
352,1.732051,0,1,cluster1
353,1.732051,1.732051,1,cluster2
354,1.732051,1.732051,1,cluster2
355,1.732051,0,1,cluster1
356,0,0,1,cluster3
357,0,0,1,cluster3
358,0,0,0,cluster3
359,1.732051,1.732051,1,cluster2
360,0,0,0,cluster3
361,3.464102,1.732051,1,cluster0
362,0,0,1,cluster3
363,1.732051,1.732051,0,cluster2
364,0,0,1,cluster3
365,1.732051,1.732051,1,cluster2
366,1.732051,1.732051,1,cluster2
367,0,0,1,cluster3
368,1.732051,0,1,cluster1
369,0,0,0,cluster3
370,1.732051,1.732051,1,cluster2
371,1.732051,0,1,cluster1
372,3.464102,1.732051,1,cluster0
373,0,0,1,cluster3
374,1.732051,0,1,cluster1
375,0,0,1,cluster3
376,0,0,1,cluster3
377,0,0,1,cluster3
378,0,0,1,cluster3
379,0,0,1,cluster3
380,0,0,1,cluster3
381,1.732051,0,1,cluster1
382,1.732051,1.732051,1,cluster2
383,1.732051,1.732051,1,cluster2
384,1.732051,0,1,cluster1
385,1.732051,1.732051,1,cluster2
386,1.732051,0,1,cluster1
387,0,0,1,cluster3
388,1.732051,1.732051,1,cluster2
389,1.732051,0,1,cluster1
390,0,0,1,cluster3
391,0,0,1,cluster3
392,0,0,1,cluster3
393,1.732051,0,1,cluster1
394,1.732051,1.732051,0,cluster2
395,0,0,0,cluster3
396,0,0,1,cluster3
397,0,0,1,cluster3
398,3.464102,1.732051,0,cluster0
399,3.464102,1.732051,1,cluster0
400,0,0,1,cluster3
401,0,0,1,cluster3
402,1.732051,1.732051,0,cluster2
403,1.732051,0,0,cluster1
404,3.464102,1.732051,1,cluster0
405,0,0,1,cluster3
406,1.732051,0,1,cluster1
407,0,0,1,cluster3
408,0,0,1,cluster3
409,0,0,1,cluster3
410,0,0,1,cluster3
411,1.732051,0,1,cluster1
412,1.732051,1.732051,1,cluster2
413,0,0,1,cluster3
414,0,0,1,cluster3
415,0,0,1,cluster3
416,0,0,1,cluster3
417,0,0,0,cluster3
418,1.732051,0,1,cluster1
419,0,0,0,cluster3
420,0,0,1,cluster3
421,0,0,1,cluster3
422,0,0,1,cluster3
423,0,0,1,cluster3
424,1.732051,1.732051,0,cluster2
425,1.732051,1.732051,0,cluster2
426,1.732051,0,0,cluster1
427,1.732051,1.732051,1,cluster2
428,1.732051,1.732051,0,cluster2
429,1.732051,0,1,cluster1
430,0,0,1,cluster3
431,1.732051,1.732051,1,cluster2
432,1.732051,0,1,cluster1
433,1.732051,0,1,cluster1
434,1.732051,1.732051,1,cluster2
435,0,0,0,cluster3
436,0,0,1,cluster3
437,0,0,1,cluster3
438,1.732051,1.732051,1,cluster2
439,0,0,0,cluster3
440,1.732051,0,1,cluster1
441,1.732051,0,1,cluster1
442,1.732051,0,1,cluster1
443,1.732051,1.732051,1,cluster2
444,1.732051,0,1,cluster1
445,3.464102,1.732051,1,cluster0
446,1.732051,0,1,cluster1
447,0,0,1,cluster3
448,0,0,1,cluster3
449,1.732051,0,1,cluster1
450,0,0,1,cluster3
451,0,0,1,cluster3
452,0,0,0,cluster3
453,1.732051,0,1,cluster1
454,0,0,0,cluster3
455,0,0,1,cluster3
456,1.732051,0,1,cluster1
457,1.732051,0,1,cluster1
458,1.732051,0,1,cluster1
459,1.732051,0,1,cluster1
460,1.732051,0,1,cluster1
461,1.732051,0,0,cluster1
462,1.732051,0,1,cluster1
463,1.732051,0,1,cluster1
464,3.464102,1.732051,0,cluster0
