@relation 2016_New_Coder_Survey-weka.filters.unsupervised.attribute.NumericToNominal-R5-weka.filters.unsupervised.attribute.Remove-R3-4_clustered

@attribute Instance_number numeric
@attribute Age numeric
@attribute Income numeric
@attribute Gender {0,1}
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6}

@data
325,24,38000,1,cluster0
326,33,140000,1,cluster3
327,29,65000,1,cluster2
328,27,45000,0,cluster0
329,28,75000,0,cluster2
330,36,6400,1,cluster4
331,20,60000,0,cluster0
332,38,15000,1,cluster4
333,49,80000,1,cluster5
334,27,45000,0,cluster0
335,23,48000,1,cluster0
336,29,10000,1,cluster1
337,28,28800,0,cluster1
338,25,48000,1,cluster0
339,61,48000,0,cluster5
340,40,100000,1,cluster3
341,41,45000,0,cluster4
342,35,100000,1,cluster3
343,30,18000,1,cluster1
344,43,25000,1,cluster4
345,27,50000,1,cluster0
346,33,112000,0,cluster3
347,30,50000,1,cluster0
348,44,85000,0,cluster3
349,32,25000,0,cluster4
350,27,70000,1,cluster2
351,24,39000,1,cluster0
352,24,12000,1,cluster1
353,32,45000,1,cluster0
354,24,15000,1,cluster1
355,28,90000,1,cluster2
356,33,48000,1,cluster2
357,33,10000,1,cluster4
358,29,27000,0,cluster1
359,16,60000,1,cluster0
360,41,8000,0,cluster4
361,31,42000,1,cluster0
362,35,37000,1,cluster4
363,28,26000,0,cluster1
364,37,20000,1,cluster4
365,26,45000,1,cluster0
366,24,30000,1,cluster1
367,25,30000,1,cluster1
368,24,120000,1,cluster3
369,28,38000,0,cluster0
370,24,30000,1,cluster1
371,20,20000,1,cluster1
372,32,80000,1,cluster2
373,17,36000,1,cluster0
374,25,24000,1,cluster1
375,35,12000,1,cluster4
376,40,52000,1,cluster4
377,21,12000,1,cluster1
378,23,40000,1,cluster0
379,32,14000,1,cluster4
380,13,18000,1,cluster1
381,28,99000,1,cluster3
382,38,28000,1,cluster4
383,37,20000,1,cluster4
384,25,14400,1,cluster1
385,40,24000,1,cluster4
386,33,40000,1,cluster4
387,40,53000,1,cluster4
388,30,80000,1,cluster2
389,61,85000,1,cluster5
390,26,45000,1,cluster0
391,35,31000,1,cluster4
392,33,15000,1,cluster4
393,26,19000,1,cluster1
394,40,66000,0,cluster2
395,28,95000,0,cluster3
396,34,110000,1,cluster3
397,40,55000,1,cluster2
398,25,44000,0,cluster0
399,32,27000,1,cluster4
400,33,63768,1,cluster2
401,26,50000,1,cluster0
402,31,36000,0,cluster0
403,22,42014,0,cluster0
404,31,20000,1,cluster1
405,23,18000,1,cluster1
406,23,50400,1,cluster0
407,24,20000,1,cluster1
408,38,13000,1,cluster4
409,33,20000,1,cluster4
410,26,50000,1,cluster0
411,25,55000,1,cluster0
412,35,73000,1,cluster2
413,22,10000,1,cluster1
414,33,14400,1,cluster4
415,35,99000,1,cluster3
416,22,24000,1,cluster1
417,23,30000,0,cluster1
418,27,50000,1,cluster0
419,32,42000,0,cluster0
420,28,45000,1,cluster0
421,27,36000,1,cluster0
422,22,55000,1,cluster0
423,29,29000,1,cluster1
424,27,40000,0,cluster0
425,25,26000,0,cluster1
426,23,27000,0,cluster1
427,42,40000,1,cluster4
428,23,60000,0,cluster0
429,29,20000,1,cluster1
430,25,200000,1,cluster6
431,26,11000,1,cluster1
432,31,20000,1,cluster1
433,30,15000,1,cluster1
434,24,10000,1,cluster1
435,31,65000,0,cluster2
436,41,87000,1,cluster3
437,28,50000,1,cluster0
438,23,14000,1,cluster1
439,43,15000,0,cluster4
440,25,25367,1,cluster1
441,35,100000,1,cluster3
442,30,8000,1,cluster1
443,30,33000,1,cluster0
444,60,40000,1,cluster5
445,26,10000,1,cluster1
446,24,32000,1,cluster0
447,41,40000,1,cluster4
448,29,58000,1,cluster2
449,35,22000,1,cluster4
450,31,95000,1,cluster3
451,24,63600,1,cluster0
452,26,8000,0,cluster1
453,23,43000,1,cluster0
454,28,40000,0,cluster0
455,33,53000,1,cluster2
456,27,36000,1,cluster0
457,21,40000,1,cluster0
458,23,12000,1,cluster1
459,24,30000,1,cluster1
460,23,70000,1,cluster0
461,42,30000,0,cluster4
462,25,6500,1,cluster1
463,29,48000,1,cluster0
464,25,60000,0,cluster0
465,26,45000,1,cluster0
466,28,40000,1,cluster0
467,21,14000,1,cluster1
468,53,50000,0,cluster5
469,27,35000,0,cluster0
470,38,30000,0,cluster4
471,30,130000,1,cluster3
472,24,15000,1,cluster1
473,54,45000,1,cluster5
474,28,44000,1,cluster0
475,31,15000,0,cluster1
476,46,20000,1,cluster4
477,29,48000,1,cluster0
478,24,31000,1,cluster1
479,35,130000,1,cluster3
480,29,30000,0,cluster1
481,28,70000,1,cluster2
482,32,50000,1,cluster2
483,39,40000,0,cluster4
484,23,36000,1,cluster0
485,31,6000,1,cluster1
486,38,86000,1,cluster3
487,25,23000,0,cluster1
488,23,6000,0,cluster1
489,29,140000,1,cluster3
490,29,20000,1,cluster1
491,40,25000,1,cluster4
492,21,25000,1,cluster1
493,28,60000,1,cluster2
494,35,50000,1,cluster2
495,30,46000,1,cluster0
496,29,18000,1,cluster1
497,52,60000,1,cluster5
498,18,36000,1,cluster0
499,41,45000,1,cluster4
500,26,50000,1,cluster0
501,41,90000,1,cluster3
502,27,34000,1,cluster0
503,32,15000,1,cluster4
504,30,10000,1,cluster1
505,25,35000,1,cluster0
506,31,10000,1,cluster1
507,31,40000,1,cluster0
508,25,43440,0,cluster0
509,29,15000,1,cluster1
510,33,42000,0,cluster4
511,27,20500,1,cluster1
512,27,80000,1,cluster2
513,28,8000,1,cluster1
514,26,48000,0,cluster0
515,40,200000,1,cluster6
516,28,20000,1,cluster1
517,62,20000,0,cluster5
518,21,10000,0,cluster1
519,45,60000,0,cluster5
520,34,30000,1,cluster4
521,39,6000,0,cluster4
522,30,19200,1,cluster1
523,25,9000,0,cluster1
524,34,200000,1,cluster6
525,36,20000,1,cluster4
526,25,24000,1,cluster1
527,26,33840,1,cluster0
528,28,55000,1,cluster0
529,30,22000,1,cluster1
530,28,29000,1,cluster1
531,24,96000,0,cluster2
532,27,12000,1,cluster1
533,23,45000,1,cluster0
534,25,42000,0,cluster0
535,26,52000,1,cluster0
536,27,20000,1,cluster1
537,24,10000,1,cluster1
538,31,7000,1,cluster1
539,23,54000,1,cluster0
540,21,10000,1,cluster1
541,34,40000,1,cluster4
542,32,65000,1,cluster2
543,39,135000,1,cluster3
544,31,6000,1,cluster1
545,28,35000,1,cluster0
546,32,40000,1,cluster4
547,39,36000,0,cluster4
548,18,6000,0,cluster1
549,35,72000,0,cluster2
550,53,111000,1,cluster3
551,24,69600,1,cluster2
552,30,14500,1,cluster1
553,27,20000,0,cluster1
554,42,42000,1,cluster4
555,33,14000,1,cluster4
556,45,60000,1,cluster5
557,43,105000,1,cluster3
558,27,25205,1,cluster1
559,36,36000,1,cluster4
560,54,7500,1,cluster5
561,38,10000,1,cluster4
562,21,200000,1,cluster6
563,26,40000,1,cluster0
564,27,40000,1,cluster0
565,37,90000,1,cluster3
566,32,70000,1,cluster2
567,25,9000,0,cluster1
568,36,70000,0,cluster2
569,32,22000,0,cluster4
570,30,12000,1,cluster1
571,34,28000,1,cluster4
572,24,10000,1,cluster1
573,39,145000,1,cluster3
574,28,14500,0,cluster1
575,32,50000,1,cluster2
576,30,40000,1,cluster0
577,21,38000,1,cluster0
578,31,30000,1,cluster4
579,35,34000,1,cluster4
580,32,15000,1,cluster4
581,27,7000,0,cluster1
582,23,37500,1,cluster0
583,25,7500,1,cluster1
584,34,30000,0,cluster4
585,34,6000,1,cluster4
586,24,40000,1,cluster0
587,35,8000,1,cluster4
588,23,80000,1,cluster2
589,24,10000,1,cluster1
590,24,16000,0,cluster1
591,29,7000,1,cluster1
592,26,38000,1,cluster0
593,28,57000,1,cluster0
594,28,48649,0,cluster0
595,34,54000,1,cluster2
596,18,60000,1,cluster0
597,36,36000,1,cluster4
598,22,24000,1,cluster1
599,31,50000,0,cluster0
600,25,12000,1,cluster1
601,37,65000,1,cluster2
602,35,60000,1,cluster2
603,27,47000,1,cluster0
604,30,40000,1,cluster0
605,25,80000,1,cluster2
606,34,85000,1,cluster2
607,22,28000,1,cluster1
608,23,7000,0,cluster1
609,23,8000,1,cluster1
610,26,120000,1,cluster3
611,40,36000,1,cluster4
612,37,60000,1,cluster2
613,52,26000,0,cluster5
