Type,Code,Area,All Residents,Age 0 to 4,Age 5 to 9,Age 10 to 14,Age 15 to 19,Age 20 to 24,Age 25 to 29,Age 30 to 34,Age 35 to 39,Age 40 to 44,Age 45 to 49,Age 50 to 54,Age 55 to 59,Age 60 to 64,Age 65 to 69,Age 70 to 74,Age 75 to 79,Age 80 to 84,Age 85 to 89,Age 90 and Over
England and Wales District,E06000035,Medway,263925,17224,15967,16765,19031,19041,17581,17246,17313,19762,19699,17205,14632,15454,11597,9055,6997,4949,2915,1492
England and Wales District,E06000036,Bracknell Forest,113205,8027,6745,7082,7231,6349,7721,8414,8792,9425,9181,7911,6347,5833,4213,3307,2789,1953,1247,638
England and Wales District,E06000037,West Berkshire,153822,10065,9017,9914,9633,7341,8506,9306,11109,12595,12486,10965,9506,9753,7406,5543,4337,3253,2065,1022
England and Wales District,E06000038,Reading,155698,11937,8556,7968,9809,14574,15113,15244,12158,11104,9910,8269,6851,6373,4902,4156,3396,2736,1704,938
England and Wales District,E06000039,Slough,140205,12777,9994,9034,8574,9574,13351,14201,11608,10093,8993,7631,6391,5160,3536,3101,2626,1879,1103,579
England and Wales District,E06000040,Windsor and Maidenhead,144560,9365,8584,8863,8343,7111,8841,9678,10626,11645,11195,9379,8161,8692,6943,5481,4617,3547,2243,1246
England and Wales District,E06000041,Wokingham,154380,10031,9551,9740,9487,7428,8071,9782,11499,12460,12780,11173,9163,9426,7337,5715,4637,3154,1896,1050
England and Wales District,E06000042,Milton Keynes,248821,19908,16468,15805,14720,14056,19596,20960,19498,19090,17930,16011,14099,13169,8872,6595,4884,3610,2371,1179
England and Wales District,E06000043,Brighton and Hove,273369,15015,13291,13412,18039,28129,22998,21959,21789,21905,20443,15345,12638,12714,9535,7925,6676,5572,3758,2226
England and Wales District,E06000044,Portsmouth,205056,13548,11031,10927,15956,22761,16991,13860,13384,14280,13848,11926,9312,9820,7655,6206,5210,4000,2792,1549
England and Wales District,E06000045,Southampton,236882,15407,11847,11555,17942,29384,21785,18600,15686,14602,14797,12716,10839,10946,8647,6796,5902,4759,3084,1588
England and Wales District,E06000046,Isle of Wight,138265,6412,6542,7968,8190,6808,6690,6340,7313,9523,10017,9307,9207,10994,9742,7370,6048,4724,3257,1813
England and Wales District,E06000047,County Durham,513242,28574,25659,27869,33267,35155,30628,28133,30498,37519,39537,35713,32950,35395,27874,23009,17850,12785,7321,3506
England and Wales District,E06000048,Northumberland,316028,16003,16345,17677,18464,16224,16187,16121,17907,22128,24842,24121,22172,24533,19062,15304,12249,8769,5233,2687
England and Wales District,E06000049,Cheshire East,370127,20194,19744,21383,22079,18615,19020,19532,24129,28386,29831,26124,23275,26443,21074,16877,13485,10248,6347,3341
England and Wales District,E06000050,Cheshire West and Chester,329608,18050,17443,18737,20105,19511,18796,18085,21296,24677,25698,22851,20573,22686,17832,14950,11683,8704,5215,2716
England and Wales District,E06000051,Shropshire,306129,15698,15632,17915,18951,16619,15619,15405,17790,22163,23574,21004,20160,22300,19059,15153,11709,8971,5571,2836
England and Wales District,E06000052,Cornwall,532273,27366,26073,29972,31800,28357,26373,26702,30276,36620,38486,36853,35543,42611,35224,26543,21397,16349,10218,5510
England and Wales District,E06000053,Isles of Scilly,2203,105,105,114,56,111,135,127,130,170,175,155,142,172,164,107,81,84,37,33
England and Wales District,E06000054,Wiltshire,470981,28373,27199,29276,29197,24720,25471,25078,30389,36130,36817,32734,28863,31246,25135,19935,16189,12267,7725,4237
England and Wales District,E06000055,Bedford,157479,10099,9376,9955,10450,9640,10134,10394,10601,11843,11693,10206,8917,9303,7045,5716,4900,3780,2297,1130
England and Wales District,E06000056,Central Bedfordshire,254381,16009,14967,15480,15335,13598,14484,15621,17853,20123,21076,18150,15504,16292,12435,9510,7825,5407,3175,1537
England and Wales District,E07000004,Aylesbury Vale,174137,11345,10544,11267,10884,8763,9872,10928,12149,14083,14497,12564,10464,10741,7930,6279,4901,3575,2173,1178
England and Wales District,E07000005,Chiltern,92635,5473,5860,6339,5559,3693,3706,4400,5718,7006,7785,7072,5792,6264,5130,4202,3581,2560,1635,860
England and Wales District,E07000006,South Bucks,66867,3931,3817,4090,3897,3114,3414,3464,4057,5202,5412,5002,4233,4283,3437,3115,2477,2001,1234,687
England and Wales District,E07000007,Wycombe,171644,11083,10718,10856,10828,10404,10615,11127,11989,13274,12770,10900,9930,9954,8192,6405,5358,3796,2245,1200
England and Wales District,E07000008,Cambridge,123867,6703,5073,5006,10238,18076,13341,11384,8469,7654,7084,5908,5357,4973,3832,3045,2722,2306,1682,1014
England and Wales District,E07000009,East Cambridgeshire,83818,5506,5016,4812,4554,4110,4895,5629,6080,6562,6476,5478,4924,5469,4239,3301,2735,2132,1244,656
England and Wales District,E07000010,Fenland,95262,5221,4841,5525,5608,5353,5597,5224,5745,6881,6999,6221,6112,6616,5523,4572,3779,2919,1690,836
England and Wales District,E07000011,Huntingdonshire,169508,10098,9704,10361,10318,9507,9805,10239,11605,13498,13587,11759,10325,11402,8875,6614,4890,3567,2186,1168
England and Wales District,E07000012,South Cambridgeshire,148755,9300,9061,9106,8734,7148,8083,9442,10791,11724,11795,10168,8945,9756,7515,5624,4576,3590,2244,1153
England and Wales District,E07000026,Allerdale,96422,4921,4706,5470,5790,4610,4808,4766,5449,7345,7409,6982,6529,7604,5912,4944,3847,2775,1687,868
England and Wales District,E07000027,Barrow-in-Furness,69087,3719,3641,4022,4491,3988,3924,3601,4195,5328,5354,4748,4310,4811,3978,3284,2382,1736,984,591
