Latitude, Aircraft.Damage, Longitude
47.042777, 2, -6
41.716945, 2, -3
31.475, 3, -4
40.365278, 2, -4
47.366667, 2, -6
32.564444, 2, -4
43.253611, 2, -3
19.316667, 3, -7
45.537222, 2, -4
48.208056, 2, -6
45.627778, 2, -6
40.223889, 2, -4
36.893333, 2, -6
37.256667, 2, -4
35.890277, 2, -5
20.668056, 3, -5
32.850556, 2, -4
40.612222, 2, -5
42.225278, 2, -4
40.203056, 2, 0
45.690555, 2, -5
46.128889, 2, -5
37.256111, 2, -5
41.819723, 2, -3
33.968889, 2, -5
29.16, 2, 4
36.391111, 2, -4
45.416667, 2, 0
33.459722, 2, -4
41.165278, 2, -4
39.448889, 3, -5
29.928889, 2, -4
33.333333, 2, -5
61.186944, 2, -7
40.354444, 2, -3
38.633889, 2, -5
38.286944, 3, -5
40.799444, 2, -3
34.112222, 2, -5
46.828334, 2, -5
31.693611, 2, -4
31.825556, 2, -4
32.089166, 2, -4
35.219167, 2, -5
34.783611, 3, -4
35.220834, 3, -4
35.534166, 2, -4
40.791667, 3, -4
45.693055, 2, -6
44.056111, 2, -3
36.706111, 3, -4
33.912222, 2, -5
33.434444, 1, -5
39.892222, 2, -3
46.569167, 2, -6
36.271667, 2, -5
32.493333, 2, -5
36.2125, 2, -5
-7.5, 2, 5
26.845833, 2, -4
38.05, 2, -5
26.247222, 2, -4
41.45, 2, -4
31.382223, 2, -5
64.648611, 2, -7
5.366667, 3, -3
41.000833, 2, -4
38.520278, 3, -4
60.792777, 2, -8
33.185277, 3, -5
63.966667, 2, -7
35.040277, 2, -5
60.939166, 2, -7
18.201389, 2, -4
37.287222, 3, -5
39.570278, 2, -5
47.822778, 2, -4
30.369167, 2, -5
39.34, 2, -5
37.775834, 2, -5
29.995, 2, -4
41.116667, 2, -4
29.066945, 2, -4
38.945555, 2, -5
32.45, 2, -4
41.128334, 2, -3
39.216945, 3, -6
46.969445, 2, -6
41.196111, 2, -4
39.668056, 2, -5
40.854444, 2, -3
42.148055, 1, -3
35.067223, 2, -4
42.579167, 2, -4
61.7575, 2, -7
39.963889, 2, -5
38.487222, 3, -3
42.038333, 2, -4
41.065556, 2, -4
34.013056, 2, -4
33.491111, 3, -5
59.960833, 2, -8
58.367778, 3, 0
26.593055, 2, -4
35.9625, 2, -4
42.946944, 2, -4
47.466945, 1, -6
39.403333, 2, -5
40.848611, 2, -3
34.217778, 3, -3
44.694444, 2, -4
37.081667, 2, -6
30.153333, 2, -4
38.662222, 2, -4
32.333333, 2, 1
40.524445, 2, -4
33.011111, 2, -5
32.7125, 2, -4
39.109444, 2, -6
37.633056, 2, -4
25.995, 2, -4
39.526667, 2, -3
45.769167, 2, -6
61.95, 2, -7
38.099166, 2, -4
-6.126667, 2, 5
47.083333, 2, -6
27.975556, 2, -4
40.285, 2, -4
64.833333, 2, -7
26.683056, 2, -4
34.833333, 2, -4
37.131667, 2, -3
40.643333, 2, -5
47.608611, 2, -5
44.351667, 2, -5
35.356389, 2, -5
38.521945, 3, -4
60.863056, 2, -7
39.948333, 3, -3
41.801667, 3, -4
41.025278, 2, -4
27.074723, 3, -4
34.25, 2, -5
34.443055, 2, -4
39.046111, 2, -4
35.288889, 3, -5
40.604722, 2, -4
11.128334, 3, -4
26.373889, 2, -4
61.292777, 2, -7
30.603889, 2, -4
46.992222, 2, -6
45.670278, 2, -6
41.423889, 2, -4
39.263333, 2, -3
33.434444, 1, -5
34.342777, 2, -4
32.781667, 3, -4
33.563889, 2, -4
38.9475, 1, -3
63.27, 2, -7
33.922778, 2, -5
39.011111, 2, -4
34.136666, 2, -5
34.436666, 2, -5
35.044722, 2, 4
40.982778, 2, -6
34.415556, 2, -4
34.249166, 2, -5
25.558611, 2, -4
43.961944, 2, 4
30.791111, 2, -4
34.247222, 3, -4
32.663889, 3, -4
58.413889, 2, 1
10.695833, 2, 0
33.688333, 2, -5
35.539722, 3, -4
33.305278, 2, -5
35.619445, 2, -4
32.523889, 2, -4
34.946389, 3, 3
40.121667, 2, -3
32.684722, 2, -4
44.492222, 2, -5
40.728611, 2, -3
42.976667, 2, -4
39.606389, 2, -4
27.180834, 2, -4
33.018056, 2, -4
58.676389, 2, -7
42.910833, 2, -4
64.425, 2, -7
14.385277, 2, -4
-13.673611, 3, -3
44.670834, 2, -4
41.358333, 2, -3
38.332778, 2, -3
44.123334, 2, -4
41.823611, 2, 5
32.138611, 2, -4
31.309167, 3, -4
21.318611, 2, -7
35.076389, 2, -4
45.096389, 2, -5
34.129167, 2, -5
27.990278, 2, -4
40.128889, 2, -3
27.456389, 2, -4
40.048333, 2, -4
60.691111, 2, -7
39.555278, 2, -3
43.642222, 2, -5
61.521667, 2, -7
46.794444, 3, -6
39.505556, 2, -6
41.408889, 3, -6
87.145833, 2, -1
61.35, 2, -7
59.916667, 2, -7
29.993333, 3, -4
32.446666, 2, -5
33.620278, 2, -5
44.9225, 2, -5
39.736389, 2, -5
29.506111, 2, -4
28.62, 3, -4
37.470278, 2, -6
36.8, 2, -4
38.069445, 2, -3
33.948611, 2, -4
40.935555, 2, -3
31.839722, 2, -4
40.961667, 2, -4
62.154722, 2, -7
40.622223, 2, -5
32.985277, 2, -4
46.689722, 2, -4
41.433333, 2, -4
34.606389, 2, -6
35.814167, 2, -3
60.904722, 2, -8
40.355278, 2, -3
64.821667, 2, -7
34.022223, 2, -5
61.569723, 2, -7
